id,first_name,last_name,email,shoe_type,shoe_material,shoe_color,price
41874,Kyle,Peck,KylePeck71@example.com,ballet flats,faux-leather,black,385.0
31349,Elizabeth,Velazquez,EVelazquez1971@example.com,boots,fabric,brown,388.0
43416,Keith,Saunders,KS4047@example.com,sandles,leather,navy,346.0
56054,Ryan,Sweeney,RyanSweeney14@outlook.com,sandles,fabric,brown,344.0
77402,Donna,Blankenship,DB3807@example.com,stilettos,fabric,brown,289.0
97148,Albert,Dillon,Albert.Dillon@example.com,wedges,fabric,brown,266.0
19998,Judith,Hewitt,JudithHewitt98@example.com,stilettos,leather,black,395.0
83290,Kayla,Hardin,Kayla.Hardin@example.com,stilettos,leather,white,241.0
77867,Steven,Blankenship,Steven.Blankenship@example.com,wedges,leather,navy,266.0
54885,Carol,Mclaughlin,CM3415@example.com,ballet flats,faux-leather,brown,440.0
35853,Jacob,Juarez,JJuarez1977@outlook.com,ballet flats,leather,red,331.0
35916,Michael,Christensen,Michael.Christensen@example.com,ballet flats,faux-leather,red,270.0
39587,Dennis,Vega,Dennis.Vega@example.com,ballet flats,faux-leather,brown,91.0
19234,Kathleen,Frost,KFrost1970@example.com,clogs,leather,brown,319.0
19733,Deborah,Lara,Deborah.Lara@example.com,ballet flats,leather,white,205.0
30871,Abigail,Dillard,ADillard1994@example.com,ballet flats,faux-leather,white,278.0
11967,Maria,Whitfield,Maria.Whitfield@example.com,wedges,fabric,white,180.0
42371,Gregory,Rose,GRose1983@example.com,boots,faux-leather,brown,319.0
35693,Margaret,Tyler,MTyler1974@example.com,ballet flats,fabric,brown,481.0
36694,Jessica,Cash,JCash1997@example.com,clogs,leather,red,397.0
84933,Jeremy,Holder,JeremyHolder35@example.com,wedges,leather,red,347.0
92283,Diana,Burgess,DBurgess1998@example.com,wedges,faux-leather,red,324.0
87240,William,Calderon,WilliamCalderon79@example.com,clogs,leather,red,439.0
49817,Katherine,Jensen,Katherine.Jensen@example.com,boots,fabric,black,171.0
18255,Tiffany,Bradshaw,TB6065@example.com,boots,faux-leather,navy,284.0
16026,William,Edwards,WE2364@example.com,sandles,leather,white,326.0
39560,Teresa,Valenzuela,TValenzuela1973@example.com,clogs,leather,brown,323.0
63898,Amber,Gross,Amber.Gross@example.com,stilettos,leather,black,451.0
31777,Kayla,Fox,Kayla.Fox@yahoo.com,sandles,fabric,navy,207.0
42232,Megan,Tyson,MTyson1979@example.com,sandles,faux-leather,white,456.0
69370,Vincent,Greer,Vincent.Greer@example.com,boots,leather,brown,308.0
62378,Willie,Sharp,WS5572@example.com,wedges,fabric,white,161.0
48007,Billy,Dalton,BDalton1987@example.com,stilettos,fabric,navy,167.0
27900,Alan,Golden,AG6950@example.com,boots,fabric,navy,289.0
85959,Julie,Rosa,JRosa1990@outlook.com,stilettos,leather,brown,481.0
94489,Philip,Carpenter,Philip.Carpenter@example.com,boots,faux-leather,red,247.0
24421,Megan,Rhodes,MR1115@example.com,boots,fabric,black,100.0
87527,James,Sheppard,James.Sheppard@example.com,boots,faux-leather,brown,211.0
87313,Wayne,Small,WSmall1987@example.com,stilettos,faux-leather,navy,487.0
18507,Donna,Clay,DC4155@hotmail.com,boots,fabric,navy,478.0
49063,Sara,Michael,SaraMichael67@example.com,sandles,fabric,brown,247.0
76091,Joan,Chan,JoanChan88@example.com,wedges,faux-leather,red,253.0
